month,regional_team,bnf_code,bnf_name,drug,items,quantity
2024-10-01,Y63,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,921,988.0
2024-09-01,Y60,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,52,60.0
2025-03-01,Y58,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,1.0
2021-09-01,Y60,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2021-07-01,Y62,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,2,4.0
2025-01-01,Y63,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,35,39.0
2025-02-01,Y58,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,130,142.0
2024-07-01,Y62,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2024-12-01,Y63,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,75,80.0
2024-06-01,Y63,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,4,16.0
2025-01-01,Y56,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,150,192.0
2024-06-01,Y56,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,17,23.0
2024-03-01,Y62,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,19,64.0
2024-06-01,Y62,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1,1.0
2025-03-01,Y56,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,810,944.0
2024-09-01,Y60,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,451,514.0
2024-12-01,Y58,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,876,957.0
2024-04-01,Y60,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,2,5.0
2024-04-01,Y62,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,3,6.0
2025-03-01,Y58,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,185,208.0
2025-01-01,Y58,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1080,1182.0
2025-01-01,Y59,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,4.0
2024-11-01,Y59,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,663,756.0
2024-11-01,Y62,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,64,74.0
2024-03-01,Y56,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,11,41.0
2024-07-01,Y59,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,2,5.0
2020-06-01,Y62,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2025-03-01,Y63,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,2680,2820.0
2025-04-01,Y62,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,2547,2681.0
2024-11-01,Y63,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,132,150.0
