month,regional_team,chemical,bnf_name,items,quantity,total_list_size,rate
2024-10-01,Y61,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,196,221.0,7316007,2.6790570320668092e-05
2024-07-01,Y63,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,238,264.0,9231835,2.57803567763072e-05
2024-11-01,Y59,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,3980,4395.0,9869858,0.0004032479494639133
2025-01-01,Y56,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,3580,4488.0,11108527,0.00032227495148546697
2025-02-01,Y60,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,3891,4194.0,12018023,0.00032376373385206535
2025-02-01,Y62,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,1818,1953.0,7969966,0.00022810636833331535
2025-06-01,Y62,Tirzepatide,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,378,400.0,7976439,4.738956820205107e-05
2025-05-01,Y56,Tirzepatide,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,366,423.0,11122723,3.2905611332764465e-05
2025-04-01,Y59,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,770,897.0,9884038,7.790338321240772e-05
2024-06-01,Y62,Tirzepatide,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,2,5.0,7913412,2.5273548249478227e-07
2024-07-01,Y63,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,58,76.0,9231835,6.28260795388999e-06
2024-09-01,Y61,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,2,8.0,7311596,2.7353808935832887e-07
2025-04-01,Y56,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,257,368.0,11124285,2.31026083923596e-05
2025-02-01,Y60,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,2,5.0,12018023,1.6641672261735562e-07
2025-03-01,Y61,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,1,4.0,7341207,1.3621738223700817e-07
2024-10-01,Y56,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,1864,2478.0,11073203,0.00016833431121961732
2024-05-01,Y58,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,939,1043.0,6122470,0.00015336947343147454
2024-05-01,Y58,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,738,889.0,6122470,0.00012053958614742089
2024-07-01,Y58,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,1787,1937.0,6126251,0.0002916955247181351
2024-12-01,Y56,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,3257,4089.0,11103147,0.00029334025749636565
2024-12-01,Y60,Tirzepatide,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,276,299.0,12008375,2.298395911186984e-05
2024-07-01,Y58,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,36,37.0,6126251,5.876350805737473e-06
2024-09-01,Y59,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,190,210.0,9845426,1.929830156663612e-05
2025-03-01,Y61,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,7318,7765.0,7341207,0.0009968388032104258
2025-03-01,Y61,Tirzepatide,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,165,167.0,7341207,2.2475868069106347e-05
2025-03-01,Y56,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,224,294.0,11120160,2.014359505618624e-05
2024-03-01,Y62,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,21,28.0,7886583,2.6627501416012486e-06
2025-06-01,Y61,Tirzepatide,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,2,6.0,7348961,2.7214731442989014e-07
2025-06-01,Y61,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,1,4.0,7348961,1.3607365721494507e-07
2024-06-01,Y63,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,2,13.0,9229501,2.1669643895157494e-07
2025-03-01,Y58,Tirzepatide,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,1,1.0,6149586,1.6261257261870962e-07
2024-05-01,Y63,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,461,583.0,9225693,4.996914594925281e-05
2025-03-01,Y58,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,1736,1836.0,6149586,0.0002822954260660799
2025-06-01,Y61,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,1016,1066.0,7348961,0.0001382508357303842
2025-05-01,Y60,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,5526,5910.0,12021740,0.00045966723619043497
2025-05-01,Y59,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,480,540.0,9885194,4.8557468877191484e-05
2025-04-01,Y58,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,4834,5449.0,6149150,0.0007861249115731442
2024-12-01,Y59,Tirzepatide,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,1,4.0,9875570,1.0125997790507283e-07
2024-08-01,Y60,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,6,22.0,11957938,5.017587480383323e-07
2024-10-01,Y59,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,2223,2744.0,9857536,0.00022551274476704928
2024-10-01,Y63,Tirzepatide,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,1,4.0,9256322,1.0803427106360388e-07
2024-05-01,Y59,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,454,597.0,9818041,4.624140396235868e-05
2024-07-01,Y56,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,113,144.0,11045722,1.0230204960798398e-05
2024-11-01,Y58,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,1029,1086.0,6145094,0.00016745065250425788
2024-11-01,Y62,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,511,558.0,7958342,6.420935415944677e-05
2025-02-01,Y63,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,11968,12714.0,9276815,0.0012900979484877083
2024-03-01,Y63,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,70,160.0,9213457,7.597582536066538e-06
2025-06-01,Y60,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,3085,3360.0,12023842,0.0002565735644230854
2025-05-01,Y62,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,3679,3878.0,7973347,0.0004614122525960553
2024-07-01,Y58,Tirzepatide,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,2,8.0,6126251,3.2646393365208186e-07
2024-10-01,Y56,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,284,341.0,11073203,2.5647502353203496e-05
2024-05-01,Y56,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,7,33.0,11034189,6.34391888701562e-07
2024-07-01,Y62,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,140,161.0,7919488,1.767791049118327e-05
2024-11-01,Y60,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,4560,5004.0,12001351,0.0003799572231492938
2024-09-01,Y56,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,996,1285.0,11051350,9.012473589199509e-05
2024-09-01,Y62,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,2100,2348.0,7930980,0.0002647844276495465
2025-01-01,Y60,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,371,396.0,12011183,3.0887881734879904e-05
2025-03-01,Y61,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,2195,2353.0,7341207,0.0002989971540102329
2024-04-01,Y61,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,72,107.0,7276535,9.894819443595064e-06
2025-06-01,Y56,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,4832,5823.0,11130730,0.000434113485818091
2025-05-01,Y63,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,16090,16974.0,9275049,0.0017347617247089476
2023-02-01,Y59,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,1,4.0,9684212,1.032608538516092e-07
2024-12-01,Y63,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,413,459.0,9274268,4.453181641936593e-05
2025-02-01,Y63,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,267,300.0,9276815,2.8781429833407265e-05
2025-03-01,Y58,Tirzepatide,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,154,177.0,6149586,2.504233618328128e-05
2024-06-01,Y59,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,36,37.0,9824332,3.6643712773550405e-06
2024-08-01,Y63,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,36,49.0,9236082,3.8977566461623015e-06
2024-08-01,Y62,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,420,461.0,7925048,5.299652443745451e-05
